"","countryfreq","categoryfreq","investmentaffinity","fundingaffinity","milestones","timeinmilestone","relationships","outcome"
"49",0.0812050485982183,0.0588951120957299,0,0,0,-1,2,0
"50",0.0422952712295427,0.0588951120957299,0,0,0,-1,1,0
"51",0.578092578435808,0.0588951120957299,0,0,3,2012,6,0
"52",0.000904878543457572,0.0588951120957299,0,0,0,-1,0,0
"53",0.578092578435808,0.0588951120957299,0,2.80254805223933e-201,2,608,8,0
"54",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"55",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"56",0.0422952712295427,0.0588951120957299,0,0,0,-1,0,0
"57",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"58",0.0197981184766838,0.0588951120957299,0,2.04463173464803e-23,0,-1,0,0
"59",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"60",0.578092578435808,0.0588951120957299,0,0,2,682,6,0
"61",0.00747304866062374,0.0588951120957299,0,0,0,-1,1,0
"62",0.0163034151364338,0.0588951120957299,0,0,1,0,1,0
"63",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"64",0.0422952712295427,0.0588951120957299,0,0,0,-1,3,0
"65",0.0422952712295427,0.0588951120957299,0,8.75651076269652e-22,1,305,3,0
"66",0.00234020312963165,0.0588951120957299,0,0,0,-1,0,0
"67",0.578092578435808,0.0588951120957299,0,0,2,2137,4,0
"68",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"69",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"70",0.578092578435808,0.0588951120957299,0,0,1,1452,5,0
"71",0.578092578435808,0.0588951120957299,0,0,2,0,2,1
"72",0.578092578435808,0.0588951120957299,0,0,4,3129,14,1
"73",0.00024962166716071,0.0588951120957299,0,0,0,-1,2,0
"74",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"75",0.00610012949123984,0.0588951120957299,0,0,1,397,3,0
"76",0.0422952712295427,0.0588951120957299,0,0,0,-1,2,0
"77",0.00513284553099209,0.0588951120957299,0,0,1,0,1,0
"78",0.578092578435808,0.0588951120957299,0,1.81771868221492e-252,1,670,5,0
"79",0.578092578435808,0.0588951120957299,0,0,1,381,3,0
"80",0.000764466355679673,0.0588951120957299,0,0,0,-1,0,0
"81",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"82",0.00102968937703793,0.0588951120957299,0,0,1,0,1,0
"83",0.578092578435808,0.0588951120957299,0,0,1,1091,2,0
"84",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"85",0.00485202115543629,0.0588951120957299,0,0,0,-1,2,0
"86",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"87",0.0163034151364338,0.0588951120957299,0,6000,1,0,2,0
"88",0.0140100160693948,0.0588951120957299,0,0,1,1704,3,0
"89",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"90",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"91",0.00163814219074216,0.0588951120957299,0,0,1,117,1,0
"92",0.00226219635864393,0.0588951120957299,0,0,2,2433,5,0
"93",0.00747304866062374,0.0588951120957299,0,0,0,-1,2,0
"94",0.578092578435808,0.0588951120957299,0,0,0,-1,2,0
"95",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
